"id","setId","slot","name","parts","icon","worldPrefab","gridW","gridH","itemType","weight"
"101","1","Head","Preset_1 Head","Chr_HeadCoverings_No_Hair_09","set_001_Head.png","Assets/Game/Prefabs/Equipment/World/set_001_Head_World.prefab","3","3","Head","1.5"
"102","1","Body","Preset_1 Body","Chr_Torso_Female_04;Chr_ArmUpperRight_Female_06;Chr_ArmUpperLeft_Female_06;Chr_ShoulderAttachRight_14;Chr_ShoulderAttachLeft_14","set_001_Body.png","Assets/Game/Prefabs/Equipment/World/set_001_Body_World.prefab","4","6","Body","7"
"104","1","Forearm","Preset_1 Forearm","Chr_ArmLowerRight_Female_16;Chr_ArmLowerLeft_Female_16;Chr_HandRight_Female_13;Chr_HandLeft_Female_04","set_001_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_001_Forearm_World.prefab","2","3","Forearm","2"
"105","1","Hips","Preset_1 Hips","Chr_HipsAttachment_08;Chr_Hips_Female_01","set_001_Hips.png","Assets/Game/Prefabs/Equipment/World/set_001_Hips_World.prefab","4","5","Hips","3"
"106","1","Leg","Preset_1 Leg","Chr_LegRight_Female_15;Chr_KneeAttachRight_07;Chr_LegLeft_Female_15","set_001_Leg.png","Assets/Game/Prefabs/Equipment/World/set_001_Leg_World.prefab","4","3","Leg","4"
"107","1","Back","Preset_1 Back","Chr_BackAttachment_04","set_001_Back.png","Assets/Game/Prefabs/Equipment/World/set_001_Back_World.prefab","4","3","BackSlot","2"
"201","2","Head","Preset_2 Head","Chr_HeadCoverings_Base_Hair_07","set_002_Head.png","Assets/Game/Prefabs/Equipment/World/set_002_Head_World.prefab","3","3","Head","1.5"
"202","2","Body","Preset_2 Body","Chr_Torso_Male_19;Chr_ArmUpperRight_Male_14;Chr_ArmUpperLeft_Male_14;Chr_ShoulderAttachRight_11;Chr_ShoulderAttachLeft_11","set_002_Body.png","Assets/Game/Prefabs/Equipment/World/set_002_Body_World.prefab","4","6","Body","7"
"204","2","Forearm","Preset_2 Forearm","Chr_ArmLowerRight_Male_14;Chr_ArmLowerLeft_Male_11;Chr_HandRight_Male_13;Chr_HandLeft_Male_13","set_002_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_002_Forearm_World.prefab","2","3","Forearm","2"
"205","2","Hips","Preset_2 Hips","Chr_HipsAttachment_09;Chr_Hips_Male_20","set_002_Hips.png","Assets/Game/Prefabs/Equipment/World/set_002_Hips_World.prefab","4","5","Hips","3"
"206","2","Leg","Preset_2 Leg","Chr_LegRight_Male_05;Chr_KneeAttachRight_03;Chr_LegLeft_Male_05","set_002_Leg.png","Assets/Game/Prefabs/Equipment/World/set_002_Leg_World.prefab","4","3","Leg","4"
