id,name,proficiencyType,xpPerLevel,baseDamageMultiplier,baseWearMultiplier,description,trainingHint,levelEffects,strengths,weaknesses
1,剑,Sword,100,1.00,1.00,单手剑武艺（含短刃/匕首模型）。,勤加使用。,统一：伤害↑、损耗↓。,节奏灵活。,对重甲乏力。
2,巨剑,GreatSword,100,1.00,1.00,双手巨剑武艺。,勤加使用。,统一：伤害↑、损耗↓。,攻击范围广。,起手慢。
3,锤,Hammer,100,1.00,1.00,单手锤武艺。,勤加使用。,统一：伤害↑、损耗↓。,偏克甲。,防御弱。
4,重锤,GreatHammer,100,1.05,0.95,双手重锤武艺。,勤加使用。,统一：伤害↑、损耗↓。,单发高。,间隔久。
5,斧,Axe,100,1.00,1.00,单手斧武艺（重武器、非开刃）。,勤加使用。,统一：伤害↑、损耗↓。,破甲。,防御弱。
6,巨斧,GreatAxe,100,1.05,0.95,双手巨斧武艺。,勤加使用。,统一：伤害↑、损耗↓。,单发高。,间隔久。
7,长枪,Spear,100,1.00,1.00,长枪/长杆武艺。,勤加使用。,统一：伤害↑、损耗↓。,距离优势。,贴身劣势。
8,法杖,Staff,100,1.00,1.00,法杖武艺（右手装备并锁定左手）。,勤加使用。,统一：伤害↑、损耗↓。,中距离。,双手占用。
9,盾牌,Shield,100,0.75,0.90,盾牌武艺；动画走剑盾模板。,勤加使用（格挡）。,统一：防务↑、损耗↓。,可格挡。,降低主手输出。
10,弓,Bow,100,1.00,1.00,弓武艺。,勤加使用。,统一：伤害↑、损耗↓。,远程。,需拉弓。
11,弩,Crossbow,100,1.00,1.00,弩武艺。,勤加使用。,统一：伤害↑、损耗↓。,远程爆发。,装填慢。
12,长火枪,LongGun,100,1.20,1.10,长火枪武艺。,勤加使用。,统一：伤害↑、损耗↓。,高伤。,装填很慢。
13,短火枪,ShortGun,100,1.15,1.10,短火枪/手枪武艺。,勤加使用。,统一：伤害↑、损耗↓。,灵活。,装填慢。
14,武术,MartialArts,100,0.95,1.00,空手武术。,徒手交战。,统一：伤害↑。,无需武器。,距离短。
15,投掷,Throwing,100,0.80,1.20,投掷姿态武艺（无单独物品文件夹）。,投中目标。,统一：伤害↑。,可远程补伤。,需规划战术。
